timestamp,node,bmc_power_watt,gpu_power_watt,gpu_power_limit_watt
2026-05-20T23:43:07+02:00,gruss-2,N/A,299.65,300.00
2026-05-20T23:43:17+02:00,gruss-2,N/A,298.97,300.00
2026-05-20T23:43:27+02:00,gruss-2,N/A,299.02,300.00
2026-05-20T23:43:38+02:00,gruss-2,N/A,299.26,300.00
2026-05-20T23:43:48+02:00,gruss-2,N/A,300.06,300.00
2026-05-20T23:43:59+02:00,gruss-2,N/A,299.61,300.00
2026-05-20T23:44:09+02:00,gruss-2,N/A,299.43,300.00
2026-05-20T23:44:19+02:00,gruss-2,N/A,299.12,300.00
2026-05-20T23:44:30+02:00,gruss-2,N/A,298.87,300.00
2026-05-20T23:44:40+02:00,gruss-2,N/A,299.14,300.00
2026-05-20T23:44:50+02:00,gruss-2,N/A,299.43,300.00
2026-05-20T23:45:01+02:00,gruss-2,N/A,122.46,300.00
2026-05-20T23:45:12+02:00,gruss-2,N/A,117.00,300.00
2026-05-20T23:45:22+02:00,gruss-2,N/A,114.97,300.00
