,comparison,feature,cohen_d,d_significant,pval_raw,pval_corrected,reject_H0,mean_False,mean_True,direction
29,False vs True,prop_ADJ,0.539,True,0.012833627926477957,0.044162778452880025,True,0.06028162106504603,0.05057435554774006,False > True
30,False vs True,prop_ADP,-0.626,False,0.000572990872399459,0.010846367157286407,True,0.1613023983892878,0.17395808418084305,True > False
31,False vs True,prop_ADV,0.149,False,0.44645535388670765,0.626058691039465,False,0.019911431302947636,0.018084459098562457,False > True
32,False vs True,prop_AUX,-0.448,False,0.03964046335910052,0.09662362943780753,False,0.026987119154536724,0.03814121781900345,True > False
33,False vs True,prop_CCONJ,-0.105,False,0.8836263833432538,0.9630885823671419,False,0.03143255430478562,0.032684415520381656,True > False
34,False vs True,prop_DET,0.431,True,0.007911362933330768,0.0385678942999875,True,0.15276000020638877,0.1438935443373699,False > True
35,False vs True,prop_INTJ,,False,,,False,,,False > True
36,False vs True,prop_NOUN,-0.572,False,0.0012429699916693268,0.01322068082048284,True,0.18173860335243225,0.19266405322882413,True > False
37,False vs True,prop_NUM,0.418,True,0.009811860072513456,0.03944430315051616,True,0.03393672793846026,0.02943629488383708,False > True
38,False vs True,prop_PRON,-0.44,False,0.017481543811756293,0.05382475331514437,False,0.04825413950589316,0.05689339342469041,True > False
39,False vs True,prop_PROPN,0.95,True,6.173326280142095e-06,0.0007222791747766251,True,0.060495052533412724,0.04316005167085787,False > True
40,False vs True,prop_PUNCT,0.743,True,0.0008727128791534367,0.010846367157286407,True,0.10533638894082682,0.09290834965047513,False > True
41,False vs True,prop_SCONJ,0.557,True,0.004269887896478371,0.03189368680847845,True,0.003393129070963514,0.0012157928852674197,False > True
42,False vs True,prop_SYM,0.192,False,1.0,1.0,False,6.012506012506013e-05,0.0,False > True
43,False vs True,prop_VERB,-0.697,False,0.00041203481305742464,0.010846367157286407,True,0.0963301962965693,0.10833509049520913,True > False
